,ID_MUNICIP,Idade,Casos,CO_MUN_NOT
97,ACARA,"(60, 65]",1.0,150020.0
98,ACARA,"(65, 70]",2.0,150020.0
99,ACARA,"(70, 75]",0.0,150020.0
100,ACARA,"(75, 80]",0.0,150020.0
101,ACARA,"(80, 99]",0.0,150020.0
102,ACARAU,"(0, 5]",0.0,230020.0
103,ACARAU,"(5, 10]",0.0,230020.0
104,ACARAU,"(10, 15]",0.0,230020.0
105,ACARAU,"(15, 20]",0.0,230020.0
106,ACARAU,"(20, 25]",0.0,230020.0
107,ACARAU,"(25, 30]",0.0,230020.0
108,ACARAU,"(30, 35]",1.0,230020.0
109,ACARAU,"(35, 40]",0.0,230020.0
110,ACARAU,"(40, 45]",1.0,230020.0
111,ACARAU,"(45, 50]",0.0,230020.0
112,ACARAU,"(50, 55]",3.0,230020.0
113,ACARAU,"(55, 60]",3.0,230020.0
114,ACARAU,"(60, 65]",1.0,230020.0
115,ACARAU,"(65, 70]",3.0,230020.0
116,ACARAU,"(70, 75]",7.0,230020.0
117,ACARAU,"(75, 80]",7.0,230020.0
118,ACARAU,"(80, 99]",11.0,230020.0
119,ACOPIARA,"(0, 5]",0.0,230030.0
120,ACOPIARA,"(5, 10]",0.0,230030.0
121,ACOPIARA,"(10, 15]",0.0,230030.0
122,ACOPIARA,"(15, 20]",0.0,230030.0
123,ACOPIARA,"(20, 25]",0.0,230030.0
124,ACOPIARA,"(25, 30]",0.0,230030.0
125,ACOPIARA,"(30, 35]",0.0,230030.0
126,ACOPIARA,"(35, 40]",0.0,230030.0
127,ACOPIARA,"(40, 45]",0.0,230030.0
128,ACOPIARA,"(45, 50]",0.0,230030.0
129,ACOPIARA,"(50, 55]",4.0,230030.0
130,ACOPIARA,"(55, 60]",0.0,230030.0
131,ACOPIARA,"(60, 65]",0.0,230030.0
132,ACOPIARA,"(65, 70]",2.0,230030.0
133,ACOPIARA,"(70, 75]",5.0,230030.0
134,ACOPIARA,"(75, 80]",3.0,230030.0
135,ACOPIARA,"(80, 99]",24.0,230030.0
136,ACRELANDIA,"(0, 5]",0.0,120001.0
137,ACRELANDIA,"(5, 10]",0.0,120001.0
138,ACRELANDIA,"(10, 15]",0.0,120001.0
139,ACRELANDIA,"(15, 20]",0.0,120001.0
140,ACRELANDIA,"(20, 25]",0.0,120001.0
141,ACRELANDIA,"(25, 30]",0.0,120001.0
142,ACRELANDIA,"(30, 35]",0.0,120001.0
143,ACRELANDIA,"(35, 40]",0.0,120001.0
144,ACRELANDIA,"(40, 45]",0.0,120001.0
145,ACRELANDIA,"(45, 50]",0.0,120001.0
146,ACRELANDIA,"(50, 55]",0.0,120001.0
147,ACRELANDIA,"(55, 60]",0.0,120001.0
148,ACRELANDIA,"(60, 65]",0.0,120001.0
149,ACRELANDIA,"(65, 70]",1.0,120001.0
150,ACRELANDIA,"(70, 75]",0.0,120001.0
151,ACRELANDIA,"(75, 80]",0.0,120001.0
152,ACRELANDIA,"(80, 99]",0.0,120001.0
153,ACREUNA,"(0, 5]",0.0,520013.0
154,ACREUNA,"(5, 10]",0.0,520013.0
155,ACREUNA,"(10, 15]",0.0,520013.0
156,ACREUNA,"(15, 20]",0.0,520013.0
157,ACREUNA,"(20, 25]",0.0,520013.0
158,ACREUNA,"(25, 30]",0.0,520013.0
159,ACREUNA,"(30, 35]",0.0,520013.0
160,ACREUNA,"(35, 40]",0.0,520013.0
161,ACREUNA,"(40, 45]",0.0,520013.0
162,ACREUNA,"(45, 50]",0.0,520013.0
163,ACREUNA,"(50, 55]",0.0,520013.0
164,ACREUNA,"(55, 60]",1.0,520013.0
165,ACREUNA,"(60, 65]",1.0,520013.0
166,ACREUNA,"(65, 70]",0.0,520013.0
167,ACREUNA,"(70, 75]",0.0,520013.0
168,ACREUNA,"(75, 80]",0.0,520013.0
169,ACREUNA,"(80, 99]",1.0,520013.0
170,ACU,"(0, 5]",0.0,240020.0
171,ACU,"(5, 10]",0.0,240020.0
172,ACU,"(10, 15]",0.0,240020.0
173,ACU,"(15, 20]",0.0,240020.0
174,ACU,"(20, 25]",0.0,240020.0
175,ACU,"(25, 30]",0.0,240020.0
176,ACU,"(30, 35]",0.0,240020.0
177,ACU,"(35, 40]",0.0,240020.0
178,ACU,"(40, 45]",0.0,240020.0
179,ACU,"(45, 50]",0.0,240020.0
180,ACU,"(50, 55]",0.0,240020.0
181,ACU,"(55, 60]",1.0,240020.0
182,ACU,"(60, 65]",0.0,240020.0
183,ACU,"(65, 70]",0.0,240020.0
184,ACU,"(70, 75]",0.0,240020.0
185,ACU,"(75, 80]",0.0,240020.0
186,ACU,"(80, 99]",2.0,240020.0
187,ADAMANTINA,"(0, 5]",0.0,350010.0
188,ADAMANTINA,"(5, 10]",0.0,350010.0
189,ADAMANTINA,"(10, 15]",0.0,350010.0
190,ADAMANTINA,"(15, 20]",0.0,350010.0
191,ADAMANTINA,"(20, 25]",0.0,350010.0
192,ADAMANTINA,"(25, 30]",0.0,350010.0
193,ADAMANTINA,"(30, 35]",0.0,350010.0
194,ADAMANTINA,"(35, 40]",0.0,350010.0
195,ADAMANTINA,"(40, 45]",1.0,350010.0
196,ADAMANTINA,"(45, 50]",0.0,350010.0
197,ADAMANTINA,"(50, 55]",0.0,350010.0
198,ADAMANTINA,"(55, 60]",3.0,350010.0
199,ADAMANTINA,"(60, 65]",4.0,350010.0
200,ADAMANTINA,"(65, 70]",1.0,350010.0
201,ADAMANTINA,"(70, 75]",2.0,350010.0
202,ADAMANTINA,"(75, 80]",2.0,350010.0
203,ADAMANTINA,"(80, 99]",3.0,350010.0
204,ADOLFO,"(0, 5]",0.0,350020.0
205,ADOLFO,"(5, 10]",0.0,350020.0
206,ADOLFO,"(10, 15]",0.0,350020.0
207,ADOLFO,"(15, 20]",0.0,350020.0
208,ADOLFO,"(20, 25]",0.0,350020.0
209,ADOLFO,"(25, 30]",0.0,350020.0
210,ADOLFO,"(30, 35]",0.0,350020.0
211,ADOLFO,"(35, 40]",0.0,350020.0
212,ADOLFO,"(40, 45]",0.0,350020.0
213,ADOLFO,"(45, 50]",0.0,350020.0
214,ADOLFO,"(50, 55]",0.0,350020.0
215,ADOLFO,"(55, 60]",0.0,350020.0
216,ADOLFO,"(60, 65]",1.0,350020.0
217,ADOLFO,"(65, 70]",0.0,350020.0
218,ADOLFO,"(70, 75]",0.0,350020.0
219,ADOLFO,"(75, 80]",0.0,350020.0
220,ADOLFO,"(80, 99]",0.0,350020.0
221,ADUSTINA,"(0, 5]",0.0,290035.0
222,ADUSTINA,"(5, 10]",0.0,290035.0
223,ADUSTINA,"(10, 15]",0.0,290035.0
224,ADUSTINA,"(15, 20]",0.0,290035.0
225,ADUSTINA,"(20, 25]",0.0,290035.0
226,ADUSTINA,"(25, 30]",0.0,290035.0
227,ADUSTINA,"(30, 35]",0.0,290035.0
228,ADUSTINA,"(35, 40]",0.0,290035.0
229,ADUSTINA,"(40, 45]",0.0,290035.0
230,ADUSTINA,"(45, 50]",0.0,290035.0
231,ADUSTINA,"(50, 55]",0.0,290035.0
232,ADUSTINA,"(55, 60]",0.0,290035.0
233,ADUSTINA,"(60, 65]",0.0,290035.0
234,ADUSTINA,"(65, 70]",0.0,290035.0
235,ADUSTINA,"(70, 75]",0.0,290035.0
236,ADUSTINA,"(75, 80]",0.0,290035.0
237,ADUSTINA,"(80, 99]",1.0,290035.0
238,AFOGADOS DA INGAZEIRA,"(0, 5]",0.0,260010.0
239,AFOGADOS DA INGAZEIRA,"(5, 10]",0.0,260010.0
240,AFOGADOS DA INGAZEIRA,"(10, 15]",0.0,260010.0
241,AFOGADOS DA INGAZEIRA,"(15, 20]",0.0,260010.0
242,AFOGADOS DA INGAZEIRA,"(20, 25]",0.0,260010.0
243,AFOGADOS DA INGAZEIRA,"(25, 30]",0.0,260010.0
244,AFOGADOS DA INGAZEIRA,"(30, 35]",0.0,260010.0
245,AFOGADOS DA INGAZEIRA,"(35, 40]",0.0,260010.0
246,AFOGADOS DA INGAZEIRA,"(40, 45]",1.0,260010.0
247,AFOGADOS DA INGAZEIRA,"(45, 50]",0.0,260010.0
248,AFOGADOS DA INGAZEIRA,"(50, 55]",2.0,260010.0
249,AFOGADOS DA INGAZEIRA,"(55, 60]",2.0,260010.0
250,AFOGADOS DA INGAZEIRA,"(60, 65]",3.0,260010.0
251,AFOGADOS DA INGAZEIRA,"(65, 70]",4.0,260010.0
252,AFOGADOS DA INGAZEIRA,"(70, 75]",2.0,260010.0
253,AFOGADOS DA INGAZEIRA,"(75, 80]",0.0,260010.0
254,AFOGADOS DA INGAZEIRA,"(80, 99]",5.0,260010.0
255,AFONSO BEZERRA,"(0, 5]",0.0,240030.0
256,AFONSO BEZERRA,"(5, 10]",0.0,240030.0
257,AFONSO BEZERRA,"(10, 15]",0.0,240030.0
258,AFONSO BEZERRA,"(15, 20]",0.0,240030.0
259,AFONSO BEZERRA,"(20, 25]",0.0,240030.0
260,AFONSO BEZERRA,"(25, 30]",0.0,240030.0
261,AFONSO BEZERRA,"(30, 35]",0.0,240030.0
262,AFONSO BEZERRA,"(35, 40]",0.0,240030.0
263,AFONSO BEZERRA,"(40, 45]",0.0,240030.0
264,AFONSO BEZERRA,"(45, 50]",0.0,240030.0
265,AFONSO BEZERRA,"(50, 55]",0.0,240030.0
266,AFONSO BEZERRA,"(55, 60]",0.0,240030.0
267,AFONSO BEZERRA,"(60, 65]",0.0,240030.0
268,AFONSO BEZERRA,"(65, 70]",0.0,240030.0
269,AFONSO BEZERRA,"(70, 75]",0.0,240030.0
270,AFONSO BEZERRA,"(75, 80]",0.0,240030.0
271,AFONSO BEZERRA,"(80, 99]",2.0,240030.0
272,AFONSO CLAUDIO,"(0, 5]",0.0,320010.0
273,AFONSO CLAUDIO,"(5, 10]",0.0,320010.0
274,AFONSO CLAUDIO,"(10, 15]",0.0,320010.0
275,AFONSO CLAUDIO,"(15, 20]",0.0,320010.0
276,AFONSO CLAUDIO,"(20, 25]",0.0,320010.0
277,AFONSO CLAUDIO,"(25, 30]",0.0,320010.0
278,AFONSO CLAUDIO,"(30, 35]",0.0,320010.0
279,AFONSO CLAUDIO,"(35, 40]",0.0,320010.0
280,AFONSO CLAUDIO,"(40, 45]",0.0,320010.0
281,AFONSO CLAUDIO,"(45, 50]",0.0,320010.0
282,AFONSO CLAUDIO,"(50, 55]",1.0,320010.0
283,AFONSO CLAUDIO,"(55, 60]",1.0,320010.0
284,AFONSO CLAUDIO,"(60, 65]",0.0,320010.0
285,AFONSO CLAUDIO,"(65, 70]",1.0,320010.0
286,AFONSO CLAUDIO,"(70, 75]",0.0,320010.0
287,AFONSO CLAUDIO,"(75, 80]",0.0,320010.0
288,AFONSO CLAUDIO,"(80, 99]",1.0,320010.0
289,AFRANIO,"(0, 5]",0.0,260020.0
290,AFRANIO,"(5, 10]",0.0,260020.0
291,AFRANIO,"(10, 15]",0.0,260020.0
292,AFRANIO,"(15, 20]",0.0,260020.0
293,AFRANIO,"(20, 25]",0.0,260020.0
294,AFRANIO,"(25, 30]",0.0,260020.0
295,AFRANIO,"(30, 35]",0.0,260020.0
296,AFRANIO,"(35, 40]",0.0,260020.0
297,AFRANIO,"(40, 45]",0.0,260020.0
298,AFRANIO,"(45, 50]",0.0,260020.0
299,AFRANIO,"(50, 55]",0.0,260020.0
300,AFRANIO,"(55, 60]",0.0,260020.0
301,AFRANIO,"(60, 65]",0.0,260020.0
302,AFRANIO,"(65, 70]",0.0,260020.0
303,AFRANIO,"(70, 75]",0.0,260020.0
304,AFRANIO,"(75, 80]",0.0,260020.0
305,AFRANIO,"(80, 99]",1.0,260020.0
306,AGRESTINA,"(0, 5]",0.0,260030.0
307,AGRESTINA,"(5, 10]",0.0,260030.0
308,AGRESTINA,"(10, 15]",0.0,260030.0
309,AGRESTINA,"(15, 20]",0.0,260030.0
310,AGRESTINA,"(20, 25]",0.0,260030.0
311,AGRESTINA,"(25, 30]",0.0,260030.0
312,AGRESTINA,"(30, 35]",0.0,260030.0
313,AGRESTINA,"(35, 40]",0.0,260030.0
314,AGRESTINA,"(40, 45]",0.0,260030.0
315,AGRESTINA,"(45, 50]",1.0,260030.0
316,AGRESTINA,"(50, 55]",0.0,260030.0
317,AGRESTINA,"(55, 60]",0.0,260030.0
318,AGRESTINA,"(60, 65]",1.0,260030.0
319,AGRESTINA,"(65, 70]",1.0,260030.0
320,AGRESTINA,"(70, 75]",0.0,260030.0
321,AGRESTINA,"(75, 80]",2.0,260030.0
322,AGRESTINA,"(80, 99]",3.0,260030.0
323,AGROLANDIA,"(0, 5]",0.0,420020.0
324,AGROLANDIA,"(5, 10]",0.0,420020.0
325,AGROLANDIA,"(10, 15]",0.0,420020.0
326,AGROLANDIA,"(15, 20]",0.0,420020.0
327,AGROLANDIA,"(20, 25]",0.0,420020.0
328,AGROLANDIA,"(25, 30]",0.0,420020.0
329,AGROLANDIA,"(30, 35]",0.0,420020.0
330,AGROLANDIA,"(35, 40]",0.0,420020.0
331,AGROLANDIA,"(40, 45]",0.0,420020.0
332,AGROLANDIA,"(45, 50]",0.0,420020.0
333,AGROLANDIA,"(50, 55]",0.0,420020.0
334,AGROLANDIA,"(55, 60]",0.0,420020.0
335,AGROLANDIA,"(60, 65]",1.0,420020.0
336,AGROLANDIA,"(65, 70]",0.0,420020.0
337,AGROLANDIA,"(70, 75]",0.0,420020.0
338,AGROLANDIA,"(75, 80]",0.0,420020.0
339,AGROLANDIA,"(80, 99]",0.0,420020.0
340,AGUA BOA,"(0, 5]",1.0,510020.0
341,AGUA BOA,"(5, 10]",1.0,510020.0
342,AGUA BOA,"(10, 15]",0.0,510020.0
343,AGUA BOA,"(15, 20]",0.0,510020.0
344,AGUA BOA,"(20, 25]",1.0,510020.0
345,AGUA BOA,"(25, 30]",0.0,510020.0
346,AGUA BOA,"(30, 35]",0.0,510020.0
347,AGUA BOA,"(35, 40]",0.0,510020.0
348,AGUA BOA,"(40, 45]",3.0,510020.0
349,AGUA BOA,"(45, 50]",1.0,510020.0
350,AGUA BOA,"(50, 55]",2.0,510020.0
351,AGUA BOA,"(55, 60]",4.0,510020.0
352,AGUA BOA,"(60, 65]",2.0,510020.0
353,AGUA BOA,"(65, 70]",4.0,510020.0
354,AGUA BOA,"(70, 75]",1.0,510020.0
355,AGUA BOA,"(75, 80]",2.0,510020.0
356,AGUA BOA,"(80, 99]",1.0,510020.0
357,AGUA DOCE DO NORTE,"(0, 5]",0.0,320016.0
358,AGUA DOCE DO NORTE,"(5, 10]",0.0,320016.0
359,AGUA DOCE DO NORTE,"(10, 15]",0.0,320016.0
360,AGUA DOCE DO NORTE,"(15, 20]",0.0,320016.0
361,AGUA DOCE DO NORTE,"(20, 25]",0.0,320016.0
362,AGUA DOCE DO NORTE,"(25, 30]",0.0,320016.0
363,AGUA DOCE DO NORTE,"(30, 35]",0.0,320016.0
364,AGUA DOCE DO NORTE,"(35, 40]",0.0,320016.0
365,AGUA DOCE DO NORTE,"(40, 45]",0.0,320016.0
366,AGUA DOCE DO NORTE,"(45, 50]",0.0,320016.0
367,AGUA DOCE DO NORTE,"(50, 55]",0.0,320016.0
368,AGUA DOCE DO NORTE,"(55, 60]",0.0,320016.0
369,AGUA DOCE DO NORTE,"(60, 65]",0.0,320016.0
370,AGUA DOCE DO NORTE,"(65, 70]",0.0,320016.0
371,AGUA DOCE DO NORTE,"(70, 75]",1.0,320016.0
372,AGUA DOCE DO NORTE,"(75, 80]",0.0,320016.0
373,AGUA DOCE DO NORTE,"(80, 99]",0.0,320016.0
374,AGUA PRETA,"(0, 5]",0.0,260040.0
375,AGUA PRETA,"(5, 10]",0.0,260040.0
376,AGUA PRETA,"(10, 15]",0.0,260040.0
377,AGUA PRETA,"(15, 20]",0.0,260040.0
378,AGUA PRETA,"(20, 25]",0.0,260040.0
379,AGUA PRETA,"(25, 30]",0.0,260040.0
380,AGUA PRETA,"(30, 35]",0.0,260040.0
381,AGUA PRETA,"(35, 40]",0.0,260040.0
382,AGUA PRETA,"(40, 45]",0.0,260040.0
383,AGUA PRETA,"(45, 50]",1.0,260040.0
384,AGUA PRETA,"(50, 55]",0.0,260040.0
385,AGUA PRETA,"(55, 60]",1.0,260040.0
386,AGUA PRETA,"(60, 65]",3.0,260040.0
387,AGUA PRETA,"(65, 70]",0.0,260040.0
388,AGUA PRETA,"(70, 75]",3.0,260040.0
389,AGUA PRETA,"(75, 80]",1.0,260040.0
390,AGUA PRETA,"(80, 99]",2.0,260040.0
391,AGUAI,"(0, 5]",0.0,350030.0
392,AGUAI,"(5, 10]",0.0,350030.0
393,AGUAI,"(10, 15]",0.0,350030.0
394,AGUAI,"(15, 20]",0.0,350030.0
395,AGUAI,"(20, 25]",0.0,350030.0
396,AGUAI,"(25, 30]",0.0,350030.0
397,AGUAI,"(30, 35]",0.0,350030.0
398,AGUAI,"(35, 40]",0.0,350030.0
399,AGUAI,"(40, 45]",0.0,350030.0
400,AGUAI,"(45, 50]",0.0,350030.0
401,AGUAI,"(50, 55]",0.0,350030.0
402,AGUAI,"(55, 60]",1.0,350030.0
403,AGUAI,"(60, 65]",0.0,350030.0
404,AGUAI,"(65, 70]",0.0,350030.0
405,AGUAI,"(70, 75]",0.0,350030.0
406,AGUAI,"(75, 80]",0.0,350030.0
407,AGUAI,"(80, 99]",2.0,350030.0
408,AGUAS BELAS,"(0, 5]",0.0,260050.0
409,AGUAS BELAS,"(5, 10]",0.0,260050.0
410,AGUAS BELAS,"(10, 15]",0.0,260050.0
411,AGUAS BELAS,"(15, 20]",0.0,260050.0
412,AGUAS BELAS,"(20, 25]",0.0,260050.0
413,AGUAS BELAS,"(25, 30]",0.0,260050.0
414,AGUAS BELAS,"(30, 35]",0.0,260050.0
415,AGUAS BELAS,"(35, 40]",0.0,260050.0
416,AGUAS BELAS,"(40, 45]",0.0,260050.0
417,AGUAS BELAS,"(45, 50]",0.0,260050.0
418,AGUAS BELAS,"(50, 55]",0.0,260050.0
419,AGUAS BELAS,"(55, 60]",0.0,260050.0
420,AGUAS BELAS,"(60, 65]",0.0,260050.0
421,AGUAS BELAS,"(65, 70]",0.0,260050.0
422,AGUAS BELAS,"(70, 75]",0.0,260050.0
423,AGUAS BELAS,"(75, 80]",2.0,260050.0
424,AGUAS BELAS,"(80, 99]",4.0,260050.0
425,AGUAS DE LINDOIA,"(0, 5]",0.0,350050.0
426,AGUAS DE LINDOIA,"(5, 10]",0.0,350050.0
427,AGUAS DE LINDOIA,"(10, 15]",0.0,350050.0
428,AGUAS DE LINDOIA,"(15, 20]",0.0,350050.0
429,AGUAS DE LINDOIA,"(20, 25]",1.0,350050.0
430,AGUAS DE LINDOIA,"(25, 30]",0.0,350050.0
431,AGUAS DE LINDOIA,"(30, 35]",0.0,350050.0
432,AGUAS DE LINDOIA,"(35, 40]",0.0,350050.0
433,AGUAS DE LINDOIA,"(40, 45]",0.0,350050.0
434,AGUAS DE LINDOIA,"(45, 50]",1.0,350050.0
435,AGUAS DE LINDOIA,"(50, 55]",1.0,350050.0
436,AGUAS DE LINDOIA,"(55, 60]",1.0,350050.0
437,AGUAS DE LINDOIA,"(60, 65]",1.0,350050.0
438,AGUAS DE LINDOIA,"(65, 70]",0.0,350050.0
439,AGUAS DE LINDOIA,"(70, 75]",0.0,350050.0
440,AGUAS DE LINDOIA,"(75, 80]",0.0,350050.0
441,AGUAS DE LINDOIA,"(80, 99]",1.0,350050.0
442,AGUAS FORMOSAS,"(0, 5]",0.0,310090.0
443,AGUAS FORMOSAS,"(5, 10]",0.0,310090.0
444,AGUAS FORMOSAS,"(10, 15]",0.0,310090.0
445,AGUAS FORMOSAS,"(15, 20]",0.0,310090.0
446,AGUAS FORMOSAS,"(20, 25]",0.0,310090.0
447,AGUAS FORMOSAS,"(25, 30]",0.0,310090.0
448,AGUAS FORMOSAS,"(30, 35]",0.0,310090.0
449,AGUAS FORMOSAS,"(35, 40]",0.0,310090.0
450,AGUAS FORMOSAS,"(40, 45]",0.0,310090.0
451,AGUAS FORMOSAS,"(45, 50]",0.0,310090.0
452,AGUAS FORMOSAS,"(50, 55]",0.0,310090.0
453,AGUAS FORMOSAS,"(55, 60]",2.0,310090.0
454,AGUAS FORMOSAS,"(60, 65]",0.0,310090.0
455,AGUAS FORMOSAS,"(65, 70]",0.0,310090.0
456,AGUAS FORMOSAS,"(70, 75]",1.0,310090.0
457,AGUAS FORMOSAS,"(75, 80]",3.0,310090.0
458,AGUAS FORMOSAS,"(80, 99]",6.0,310090.0
459,AGUAS LINDAS DE GOIAS,"(0, 5]",0.0,520025.0
460,AGUAS LINDAS DE GOIAS,"(5, 10]",0.0,520025.0
461,AGUAS LINDAS DE GOIAS,"(10, 15]",0.0,520025.0
462,AGUAS LINDAS DE GOIAS,"(15, 20]",0.0,520025.0
463,AGUAS LINDAS DE GOIAS,"(20, 25]",2.0,520025.0
464,AGUAS LINDAS DE GOIAS,"(25, 30]",1.0,520025.0
465,AGUAS LINDAS DE GOIAS,"(30, 35]",8.0,520025.0
466,AGUAS LINDAS DE GOIAS,"(35, 40]",8.0,520025.0
467,AGUAS LINDAS DE GOIAS,"(40, 45]",5.0,520025.0
468,AGUAS LINDAS DE GOIAS,"(45, 50]",12.0,520025.0
469,AGUAS LINDAS DE GOIAS,"(50, 55]",19.0,520025.0
470,AGUAS LINDAS DE GOIAS,"(55, 60]",19.0,520025.0
471,AGUAS LINDAS DE GOIAS,"(60, 65]",17.0,520025.0
472,AGUAS LINDAS DE GOIAS,"(65, 70]",30.0,520025.0
473,AGUAS LINDAS DE GOIAS,"(70, 75]",18.0,520025.0
474,AGUAS LINDAS DE GOIAS,"(75, 80]",19.0,520025.0
475,AGUAS LINDAS DE GOIAS,"(80, 99]",35.0,520025.0
476,AGUDOS,"(0, 5]",0.0,350070.0
477,AGUDOS,"(5, 10]",0.0,350070.0
478,AGUDOS,"(10, 15]",0.0,350070.0
479,AGUDOS,"(15, 20]",0.0,350070.0
480,AGUDOS,"(20, 25]",0.0,350070.0
481,AGUDOS,"(25, 30]",1.0,350070.0
482,AGUDOS,"(30, 35]",0.0,350070.0
483,AGUDOS,"(35, 40]",1.0,350070.0
484,AGUDOS,"(40, 45]",1.0,350070.0
